username,target
@TurbineJetRC,@CarolineLucas
@schazadh,@UN
@schazadh,@UNHumanRights
@schazadh,@amnesty
@Mani05499207,@DebEm03
@Mani05499207,@myldn
@race_male,@LBC
@hannamendesil,@ajplus
@hannamendesil,@AinAfrica
@truthwsyf,@EU_Commission
@truthwsyf,@EP_President
@truthwsyf,@vonderleyen
@nafluZ_i,@IhsanUllahHasen
@nafluZ_i,@KremlinRussia_E
@nafluZ_i,@RusEmbJakarta
@abhinavrajkumar,@sundarpichai
@abhinavrajkumar,@Google
@abhinavrajkumar,@Kent_Walker
@gusdureen,@hzomlot
@gusdureen,@CakNur_Society
@abhinavrajkumar,@ZiobroPL
@abhinavrajkumar,@SecBlinken
@trieb88,@SenSanders
@trieb88,@dailymaverick
@trieb88,@Poplak
@KaAbdelfatah,@Santi_ABASCAL
@KaAbdelfatah,@vox_es
@TurbineJetRC,@RemusBaisan
@DrOlayeye,@wertico1916
@DrOlayeye,@JanuszMichallik
@UncleObama_,@NIAbbot
@UncleObama_,@NickFerrariLBC
@_kimbichwa_,@YOUNGIBIS
@_kimbichwa_,@AlanRMacLeod
@Abdulrhmansal,@BBCWorld
@Abdulrhmansal,@CNN
@Abdulrhmansal,@abcnews
@abhinavrajkumar,@BorisJohnson
@abhinavrajkumar,@volkan_bozkir
@abhinavrajkumar,@abdulla_shahid
@Ishmourda254,@NickKnudsenUS
@Ishmourda254,@WuodNyauyoma_
@Ishmourda254,@imaginebluetit
@Ishmourda254,@GCaseyCarlson
@Ishmourda254,@KuznickiJakub
@Ishmourda254,@LanceSterling12
@Ishmourda254,@BHatersluv
@Ishmourda254,@KennyNwankw0
@Ishmourda254,@mohankeech
@Ishmourda254,@breaking_newsx
@Ishmourda254,@olex_scherba
@Ishmourda254,@kristyhoffman12
@Ishmourda254,@VaadeD
@Ishmourda254,@planconsia
@Ishmourda254,@Danzfitty
@Ishmourda254,@daudkhalid90
@Ishmourda254,@ZainbiMedia
@Ishmourda254,@Shakirukasa
@Ishmourda254,@Muhamma53124361
@Ishmourda254,@thinkablesoul
@Ishmourda254,@Muhamma53124361
@Ishmourda254,@AmitPalEngineer
@Ishmourda254,@AzeriTimes
@Ishmourda254,@terezadickson
@Ishmourda254,@Danny_King1
@Ishmourda254,@MirrorFootball
@Ishmourda254,@CFCPys
@Ishmourda254,@Boro
@Ishmourda254,@BlackKnight10k
@Ishmourda254,@KyivIndependent
@Ishmourda254,@ethanmwolf
@Ishmourda254,@michaeldweiss
@Ishmourda254,@EuromaidanPress
@Ishmourda254,@terezadickson
@Ishmourda254,@AzeriTimes
@Ishmourda254,@travisakers
@Ishmourda254,@WarsArchives
@Ishmourda254,@olgatokariuk
@Ishmourda254,@MFA_Ukraine
@Ishmourda254,@IAPonomarenko
@Ishmourda254,@ABreakingWorld
@Ishmourda254,@DasVanthala
@Ishmourda254,@saint_rebel
@Ishmourda254,@sanakha88862533
@Ishmourda254,@Volodymyr__Zele
@Ishmourda254,@cindylocke47
@Ishmourda254,@IsMeEmmanuel
@Ishmourda254,@Lynda9291
@Ishmourda254,@Bestbrainnn
@Ishmourda254,@InterfereNot
@Ishmourda254,@IAPonomarenkoo
@Ishmourda254,@oleksandr5s
@Ishmourda254,@Die__Trying_
@Ishmourda254,@Ashrafu21020166
@Ishmourda254,@deAdder
@Ishmourda254,@Rajwant38869482
@Ishmourda254,@BadrobotLinda
@Ishmourda254,@fowzi1974
@Ishmourda254,@msfy_toress
@Ishmourda254,@Russia
@Ishmourda254,@Russia
@Ishmourda254,@Russia
@Ishmourda254,@Russia
@Ishmourda254,@IdaFMartinez1
@Ishmourda254,@Russia
@Ishmourda254,@Russia
@Ishmourda254,@Russia
@Ishmourda254,@Russia
@Ishmourda254,@Russia
